ID,PLOT,BLOCK,TRT,REP,CODE,EVAL,DAP,FLM,FSM,FTM,FRM,NOT,sFLM,sFSM,sFTM,sFRM,sDLM,sDSM,sDTM,sDRM,,
148,17,4,Bretaña,4,BRE,E2,113,611.4,774.5,291.7,159.1,8,100.8,100,98.1,101.9,9.5,6.8,16.9,9.1,,
149,18,4,Huevo de Indio,1,HUE,E2,113,382.2,267.4,409.9,107.4,14,100.6,101,104,99.3,11.4,9.1,21.8,12.8,,
150,18,4,Huevo de Indio,2,HUE,E2,113,446.9,412.1,376,126.8,12,100.4,100,100.8,86.9,12,8.8,19.8,11.8,,
151,18,4,Huevo de Indio,3,HUE,E2,113,376.4,316.2,263.9,103.9,7,100.1,100.3,97.8,103.9,11.1,7.2,16.8,11.3,,
152,18,4,Huevo de Indio,4,HUE,E2,113,440.1,362.3,293.8,94.2,14,100.7,100.3,100.1,94.2,11.3,9.6,18.5,13.1,,
153,19,4,Poderosa,1,POD,E2,113,517.3,568.8,689.3,101.9,14,100.3,100.9,100,101.9,11.1,11.4,19.2,15.1,,
154,19,4,Poderosa,2,POD,E2,113,891,789.2,1158.1,231.6,35,100.2,100,101.7,100.2,12.5,12.7,20.5,21.9,,
155,19,4,Poderosa,3,POD,E2,113,1015.7,988.4,780.1,137.2,18,100.1,100.2,98.1,103.3,10.4,9.4,15.7,15.4,,
156,19,4,Poderosa,4,POD,E2,113,955.9,784.1,844.3,324.8,15,100.9,101,103.5,99.9,8.9,10.7,20.6,13.8,,
157,20,4,Yungay,1,YUN,E2,113,532.1,468.3,714.1,86.4,22,100.1,100.5,101.8,86.4,7.5,9.2,17.1,11.2,,
158,20,4,Yungay,2,YUN,E2,113,780.1,705.8,1280.4,132.1,22,100.9,99.9,96.8,100.1,11.4,11.4,16.4,14.2,,
159,20,4,Yungay,3,YUN,E2,113,536.9,348.4,694.8,96.6,28,101.6,100.3,109.1,96.6,10.5,9.2,16.4,10.8,,
160,20,4,Yungay,4,YUN,E2,113,666.4,520.4,1091.7,122.6,21,100,100.5,103.5,100.3,10.9,8.4,16,13.4,,
161,1,1,Yungay,1,YUN,E3,136,364.8,379.3,1084.1,92.7,24,100.5,100.3,108.3,92.7,8.7,6.5,16.5,9.3,,
162,1,1,Yungay,2,YUN,E3,136,536.6,504.8,1661.6,64.1,19,100.5,100.6,101.7,64.1,9.4,7.2,17.3,8.7,,
163,1,1,Yungay,3,YUN,E3,136,450.4,593.8,1277.6,95.4,22,100,101.5,104.1,95.4,8.2,8.2,17.4,10.6,,
164,1,1,Yungay,4,YUN,E3,136,939.9,1188.9,2893.3,212.9,43,100.3,100.3,100.3,102.3,9.9,8.8,18.4,14.3,,
165,2,1,Huevo de Indio,1,HUE,E3,136,425.2,407.4,945.9,79,19,100.3,100.6,101.4,79,8.8,7.4,25.6,9.9,,
166,2,1,Huevo de Indio,2,HUE,E3,136,559.5,533.6,1658.9,116.6,27,100.7,100.5,103.7,100.9,10.8,8.2,24.5,13.8,,
167,2,1,Huevo de Indio,3,HUE,E3,136,232.5,305.9,333.2,77.7,8,100.4,101.1,103.6,77.7,11,7.1,21.8,11.2,,
168,2,1,Huevo de Indio,4,HUE,E3,136,500.4,530.5,540.7,103.9,11,100.7,100.8,106.7,103.9,9.4,7.3,24,13.4,,
169,3,1,Poderosa,1,POD,E3,136,356,598.9,1225.3,68.3,14,100.3,100.6,106.9,68.3,12.4,10.1,26.8,8.6,,
170,3,1,Poderosa,2,POD,E3,136,498,690.6,1478,111,22,100.3,100.5,102.5,101.8,10.7,10.1,24.9,15.2,,
171,3,1,Poderosa,3,POD,E3,136,384.3,545.1,1152.4,80.5,16,100.8,100.1,103.8,80.5,11.9,10.6,22.6,11.5,,
172,3,1,Poderosa,4,POD,E3,136,554.3,795.9,1790.4,94.7,26,100.8,100,100.8,94.7,12.8,12.5,22.7,13.4,,
173,4,1,Bretaña,1,BRE,E3,136,311.6,530.1,632.5,79.5,6,100.6,100.7,103.9,79.5,8,7.4,21.8,8.8,,
174,4,1,Bretaña,2,BRE,E3,136,446.8,888.5,511.9,91.9,11,99.9,101.8,101.8,91.9,7.4,6,23.1,8.9,,
175,4,1,Bretaña,3,BRE,E3,136,1017.2,1175.1,1631.8,148.1,15,101.2,100.8,105.5,101.8,9.8,8.3,24.6,14.8,,
176,4,1,Bretaña,4,BRE,E3,136,715.3,995.2,1215.4,142,15,100.6,101.8,100.6,100.7,9,8,21.7,11.8,,
177,5,1,Amarilis,1,AMA,E3,113,704.5,460.1,1810,67.6,13,100.8,99.7,97.6,67.6,9,8.6,13.9,8.7,,
178,5,1,Amarilis,2,AMA,E3,113,615.8,318.2,1910.4,86.6,22,100.9,100.3,106.6,86.6,10.6,9.6,11.9,12.4,,
179,5,1,Amarilis,3,AMA,E3,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
180,5,1,Amarilis,4,AMA,E3,113,988.5,559.2,2813.9,128.9,19,100.1,100.4,101.9,99.4,10,10.8,16.4,12.9,,
181,6,2,Yungay,1,YUN,E3,136,812.8,904,2553.5,98.1,37,100.2,100.9,101.5,98.1,16.1,12.1,19.1,12.9,,
182,6,2,Yungay,2,YUN,E3,136,330.4,286.5,721.4,63.2,14,101.5,100,101.8,63.2,9.5,8.3,16.5,8.2,,
183,6,2,Yungay,3,YUN,E3,136,526.7,507.4,980.9,86.7,9,100.6,101.5,100,86.7,10.7,10.4,18.9,12.1,,
184,6,2,Yungay,4,YUN,E3,136,1019.1,1032,2229.1,112.9,18,100.7,101.2,105.1,100.4,9.4,10.2,16.2,14.5,,
